Date,Close
4/1/2010,7.64
5/1/2010,7.66
6/1/2010,7.53
7/1/2010,7.52
8/1/2010,7.57
11/1/2010,7.50
12/1/2010,7.42
13/1/2010,7.52
14/1/2010,7.48
15/1/2010,7.35
19/1/2010,7.68
20/1/2010,7.56
21/1/2010,7.43
22/1/2010,7.06
25/1/2010,7.25
26/1/2010,7.36
27/1/2010,7.42
28/1/2010,7.12
29/1/2010,6.86
1/2/2010,6.95
2/2/2010,7.00
3/2/2010,7.12
4/2/2010,6.86
5/2/2010,6.98
8/2/2010,6.93
9/2/2010,7.01
10/2/2010,6.97
11/2/2010,7.10
12/2/2010,7.16
16/2/2010,7.26
17/2/2010,7.23
18/2/2010,7.25
19/2/2010,7.20
22/2/2010,7.16
23/2/2010,7.04
24/2/2010,7.17
25/2/2010,7.21
26/2/2010,7.31
1/3/2010,7.46
2/3/2010,7.46
3/3/2010,7.48
4/3/2010,7.53
5/3/2010,7.82
8/3/2010,7.82
9/3/2010,7.97
10/3/2010,8.03
11/3/2010,8.05
12/3/2010,8.09
15/3/2010,7.99
16/3/2010,8.02
17/3/2010,8.00
18/3/2010,8.02
19/3/2010,7.94
22/3/2010,8.03
23/3/2010,8.16
24/3/2010,8.19
25/3/2010,8.09
26/3/2010,8.25
29/3/2010,8.30
30/3/2010,8.42
31/3/2010,8.39
1/4/2010,8.43
5/4/2010,8.52
6/4/2010,8.56
7/4/2010,8.59
8/4/2010,8.57
9/4/2010,8.64
12/4/2010,8.65
13/4/2010,8.66
14/4/2010,8.77
15/4/2010,8.89
16/4/2010,8.84
19/4/2010,8.82
20/4/2010,8.74
21/4/2010,9.26
22/4/2010,9.52
23/4/2010,9.67
26/4/2010,9.63
27/4/2010,9.36
28/4/2010,9.34
29/4/2010,9.59
30/4/2010,9.32
3/5/2010,9.51
4/5/2010,9.24
5/5/2010,9.14
6/5/2010,8.79
7/5/2010,8.42
10/5/2010,9.07
11/5/2010,9.16
12/5/2010,9.36
13/5/2010,9.23
14/5/2010,9.07
17/5/2010,9.08
18/5/2010,9.01
19/5/2010,8.87
20/5/2010,8.49
21/5/2010,8.65
24/5/2010,8.81
25/5/2010,8.76
26/5/2010,8.72
27/5/2010,9.05
28/5/2010,9.17
1/6/2010,9.32
2/6/2010,9.43
3/6/2010,9.40
4/6/2010,9.14
7/6/2010,8.96
8/6/2010,8.90
9/6/2010,8.69
10/6/2010,8.95
11/6/2010,9.05
14/6/2010,9.08
15/6/2010,9.27
16/6/2010,9.54
17/6/2010,9.71
18/6/2010,9.79
21/6/2010,9.65
22/6/2010,9.78
23/6/2010,9.68
24/6/2010,9.61
25/6/2010,9.53
28/6/2010,9.58
29/6/2010,9.15
30/6/2010,8.98
1/7/2010,8.87
2/7/2010,8.82
6/7/2010,8.88
7/7/2010,9.24
8/7/2010,9.22
9/7/2010,9.27
12/7/2010,9.19
13/7/2010,8.99
14/7/2010,9.03
15/7/2010,8.98
16/7/2010,8.93
19/7/2010,8.77
20/7/2010,9.00
21/7/2010,9.08
22/7/2010,9.25
23/7/2010,9.28
26/7/2010,9.26
27/7/2010,9.43
28/7/2010,9.32
29/7/2010,9.22
30/7/2010,9.19
2/8/2010,9.35
3/8/2010,9.35
4/8/2010,9.39
5/8/2010,9.35
6/8/2010,9.29
9/8/2010,9.35
10/8/2010,9.26
11/8/2010,8.94
12/8/2010,8.99
13/8/2010,8.90
16/8/2010,8.84
17/8/2010,9.00
18/8/2010,9.04
19/8/2010,8.92
20/8/2010,8.92
23/8/2010,8.78
24/8/2010,8.57
25/8/2010,8.67
26/8/2010,8.58
27/8/2010,8.63
30/8/2010,8.66
31/8/2010,8.68
1/9/2010,8.94
2/9/2010,9.01
3/9/2010,9.24
7/9/2010,9.21
8/9/2010,9.39
9/9/2010,9.40
10/9/2010,9.41
13/9/2010,9.54
14/9/2010,9.57
15/9/2010,9.65
16/9/2010,9.88
17/9/2010,9.83
20/9/2010,10.12
21/9/2010,10.13
22/9/2010,10.28
23/9/2010,10.32
24/9/2010,10.44
27/9/2010,10.40
28/9/2010,10.25
29/9/2010,10.26
30/9/2010,10.13
1/10/2010,10.09
4/10/2010,9.95
5/10/2010,10.32
6/10/2010,10.33
7/10/2010,10.33
8/10/2010,10.50
11/10/2010,10.55
12/10/2010,10.66
13/10/2010,10.72
14/10/2010,10.80
15/10/2010,11.24
18/10/2010,11.36
19/10/2010,11.05
20/10/2010,11.09
21/10/2010,11.05
22/10/2010,10.98
25/10/2010,11.03
26/10/2010,11.00
27/10/2010,10.99
28/10/2010,10.90
29/10/2010,10.75
1/11/2010,10.86
2/11/2010,11.05
3/11/2010,11.17
4/11/2010,11.37
5/11/2010,11.33
8/11/2010,11.38
9/11/2010,11.29
10/11/2010,11.36
11/11/2010,11.31
12/11/2010,11.00
15/11/2010,10.97
16/11/2010,10.77
17/11/2010,10.73
18/11/2010,11.02
19/11/2010,10.95
22/11/2010,11.19
23/11/2010,11.03
24/11/2010,11.24
26/11/2010,11.28
29/11/2010,11.32
30/11/2010,11.11
1/12/2010,11.30
2/12/2010,11.36
3/12/2010,11.34
6/12/2010,11.43
7/12/2010,11.36
8/12/2010,11.46
9/12/2010,11.42
10/12/2010,11.45
13/12/2010,11.49
14/12/2010,11.44
15/12/2010,11.44
16/12/2010,11.47
17/12/2010,11.45
20/12/2010,11.51
21/12/2010,11.58
22/12/2010,11.61
23/12/2010,11.56
27/12/2010,11.60
28/12/2010,11.62
29/12/2010,11.62
30/12/2010,11.56
31/12/2010,11.52
3/1/2011,11.77
4/1/2011,11.83
5/1/2011,11.93
6/1/2011,11.92
7/1/2011,12.00
10/1/2011,12.23
11/1/2011,12.20
12/1/2011,12.30
13/1/2011,12.35
14/1/2011,12.45
18/1/2011,12.17
19/1/2011,12.10
20/1/2011,11.88
21/1/2011,11.67
24/1/2011,12.05
25/1/2011,12.19
26/1/2011,12.28
27/1/2011,12.26
28/1/2011,12.00
31/1/2011,12.12
1/2/2011,12.32
2/2/2011,12.30
3/2/2011,12.27
4/2/2011,12.38
7/2/2011,12.57
8/2/2011,12.69
9/2/2011,12.79
10/2/2011,12.66
11/2/2011,12.74
14/2/2011,12.83
15/2/2011,12.85
16/2/2011,12.97
17/2/2011,12.80
18/2/2011,12.52
22/2/2011,12.09
23/2/2011,12.24
24/2/2011,12.25
25/2/2011,12.43
28/2/2011,12.61
1/3/2011,12.48
2/3/2011,12.58
3/3/2011,12.84
4/3/2011,12.86
7/3/2011,12.69
8/3/2011,12.71
9/3/2011,12.59
10/3/2011,12.38
11/3/2011,12.57
14/3/2011,12.63
15/3/2011,12.34
16/3/2011,11.79
17/3/2011,11.95
18/3/2011,11.81
21/3/2011,12.12
22/3/2011,12.19
23/3/2011,12.11
24/3/2011,12.32
25/3/2011,12.56
28/3/2011,12.52
29/3/2011,12.53
30/3/2011,12.45
31/3/2011,12.45
1/4/2011,12.31
4/4/2011,12.19
5/4/2011,12.10
6/4/2011,12.07
7/4/2011,12.07
8/4/2011,11.97
11/4/2011,11.81
12/4/2011,11.87
13/4/2011,12.00
14/4/2011,11.87
15/4/2011,11.70
18/4/2011,11.85
19/4/2011,12.07
20/4/2011,12.23
21/4/2011,12.52
25/4/2011,12.61
26/4/2011,12.52
27/4/2011,12.51
28/4/2011,12.38
29/4/2011,12.50
2/5/2011,12.37
3/5/2011,12.44
4/5/2011,12.48
5/5/2011,12.38
6/5/2011,12.38
9/5/2011,12.41
10/5/2011,12.48
11/5/2011,12.40
12/5/2011,12.38
13/5/2011,12.16
16/5/2011,11.90
17/5/2011,12.01
18/5/2011,12.14
19/5/2011,12.16
20/5/2011,11.97
23/5/2011,11.94
24/5/2011,11.86
25/5/2011,12.03
26/5/2011,11.96
27/5/2011,12.05
31/5/2011,12.42
1/6/2011,12.34
2/6/2011,12.36
3/6/2011,12.27
6/6/2011,12.07
7/6/2011,11.86
8/6/2011,11.87
9/6/2011,11.84
10/6/2011,11.64
13/6/2011,11.66
14/6/2011,11.87
15/6/2011,11.67
16/6/2011,11.61
17/6/2011,11.44
20/6/2011,11.26
21/6/2011,11.62
22/6/2011,11.52
23/6/2011,11.83
24/6/2011,11.66
27/6/2011,11.86
28/6/2011,11.97
